**** Molotov v1.6. Happy breaking! ****
Testing stage.normandy.nonprod.cloudops.mozgcp.net
Preparing 1 worker...
OK
SUCCESSES: 2426 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2436 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2445 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2455 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2464 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2474 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2483 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2493 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2502 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2512 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2521 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2531 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2541 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2550 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2560 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2563 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2568 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2577 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2581 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2585 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2594 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2604 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2613 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2619 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2621 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2630 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2640 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2649 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2658 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2668 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2677 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2686 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2696 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2705 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2714 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2724 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2732 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2740 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2749 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2758 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2767 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2777 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2786 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2796 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2805 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2815 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2824 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2833 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2843 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2852 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2862 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2871 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2881 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2890 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2899 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2907 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2907 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2915 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2924 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2933 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2943 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2951 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2960 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2970 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2974 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2976 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2985 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2995 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3004 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3013 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3023 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3032 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3041 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3051 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3060 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3070 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3079 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3089 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3098 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3104 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3105 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3115 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3124 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3134 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3143 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3150 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3159 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3169 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3178 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3188 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3197 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3207 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3216 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3226 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3235 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3244 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3254 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3263 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3272 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3275 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3278 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3287 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3297 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3306 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3315 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3325 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3334 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3344 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3353 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3362 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3372 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3381 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3391 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3393 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3393 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3393 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3400 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3410 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3418 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3427 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3435 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3445 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3454 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3463 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3473 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3483 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3492 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3501 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3511 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3520 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3527 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3528 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3538 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3543 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3553 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3559 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3561 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3570 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3580 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3590 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3598 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3607 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3617 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3627 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3636 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3646 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3656 | FAILURES: 0 | WORKERS: 1
